source,route,name,size,stroke,profile,inkCells,facesPre,facesPreLargest,regions,pathCells,segments,coverage,bendRate,dagDepth,failure
"lucide","line-art","car",40,6,"authored",647,1,167,1,192,16,1,0.4368421052631579,3,""
"lucide","line-art","car",60,2,"default",320,3,842,1,1004,70,1,0.4121756487025948,16,""
"lucide","line-art","car",60,2,"authored",320,3,842,1,996,76,1,0.3993963782696177,10,""
"lucide","line-art","car",60,3,"default",485,3,773,1,980,67,1,0.39161554192229037,12,""
"lucide","line-art","car",60,3,"authored",485,3,773,3,948,70,1,0.39596602972399153,9,""
"lucide","line-art","car",60,4,"default",645,3,714,3,844,70,1,0.4116945107398568,13,""
"lucide","line-art","car",60,4,"authored",645,3,714,3,844,70,1,0.4116945107398568,13,""
"lucide","line-art","car",60,6,"default",963,3,585,1,612,39,1,0.40491803278688526,13,""
"lucide","line-art","car",60,6,"authored",963,3,585,1,612,39,1,0.40491803278688526,13,""
"lucide","line-art","car",78,2,"default",422,3,1458,1,1792,127,1,0.411731843575419,16,""
"lucide","line-art","car",78,2,"authored",422,3,1458,1,1760,116,1,0.4180887372013652,15,""
"lucide","line-art","car",78,3,"default",668,3,1378,1,1632,114,1,0.4116564417177914,15,""
"lucide","line-art","car",78,3,"authored",668,3,1378,3,1600,102,1,0.4090338770388959,10,""
"lucide","line-art","car",78,4,"default",875,3,1261,3,1532,124,1,0.41939711664482304,14,""
"lucide","line-art","car",78,4,"authored",875,3,1261,3,1532,124,1,0.41939711664482304,14,""
"lucide","line-art","car",78,6,"default",1271,3,1107,3,1272,83,1,0.4107424960505529,12,""
"lucide","line-art","car",78,6,"authored",1271,3,1107,3,1272,83,1,0.4107424960505529,12,""
"lucide","line-art","car",100,2,"default",576,3,2482,1,2984,207,1,0.4027498323272971,18,""
"lucide","line-art","car",100,2,"authored",576,3,2482,1,2944,184,1,0.40278721957851804,18,""
"lucide","line-art","car",100,3,"default",859,3,2320,1,2808,173,1,0.3937990021382751,23,""
"lucide","line-art","car",100,3,"authored",859,3,2320,1,2792,186,1,0.4075268817204301,20,""
"lucide","line-art","car",100,4,"default",1145,3,2254,3,2692,176,1,0.4177215189873418,15,""
"lucide","line-art","car",100,4,"authored",1145,3,2254,3,2692,176,1,0.4177215189873418,15,""
"lucide","line-art","car",100,6,"default",1701,3,2018,3,2276,162,1,0.3933920704845815,14,""
"lucide","line-art","car",100,6,"authored",1701,3,2018,3,2276,162,1,0.3933920704845815,14,""
"lucide","line-art","carrot",40,2,"default",261,3,246,1,388,27,1,0.4170984455958549,7,""
"lucide","line-art","carrot",40,2,"authored",261,3,246,3,376,30,1,0.45675675675675675,6,""
"lucide","line-art","carrot",40,3,"default",376,3,207,3,296,19,1,0.4517241379310345,5,""
"lucide","line-art","carrot",40,3,"authored",376,3,207,3,288,22,1,0.4716312056737589,6,""
"lucide","line-art","carrot",40,4,"default",503,3,158,1,196,16,1,0.4484536082474227,4,""
"lucide","line-art","carrot",40,4,"authored",503,3,158,1,196,16,1,0.4484536082474227,4,""
"lucide","line-art","carrot",40,6,"default",701,1,87,3,80,6,1,0.581081081081081,2,""
"lucide","line-art","carrot",40,6,"authored",701,1,87,3,80,6,1,0.581081081081081,2,""
"lucide","line-art","carrot",60,2,"default",381,3,641,1,924,57,1,0.41106290672451196,7,""
"lucide","line-art","carrot",60,2,"authored",381,3,641,1,916,63,1,0.4102844638949672,13,""
"lucide","line-art","carrot",60,3,"default",574,3,566,3,820,62,1,0.40294840294840295,14,""
"lucide","line-art","carrot",60,3,"authored",574,3,566,3,800,51,1,0.4080604534005038,8,""
"lucide","line-art","carrot",60,4,"default",791,3,478,3,652,49,1,0.44272445820433437,9,""
"lucide","line-art","carrot",60,4,"authored",791,3,478,3,652,49,1,0.44272445820433437,9,""
"lucide","line-art","carrot",60,6,"default",1100,3,372,1,424,32,1,0.4194312796208531,7,""
"lucide","line-art","carrot",60,6,"authored",1100,3,372,1,424,32,1,0.4194312796208531,7,""
"lucide","line-art","carrot",78,2,"default",530,3,1123,1,1600,108,1,0.399874843554443,10,""
"lucide","line-art","carrot",78,2,"authored",530,3,1123,3,1580,120,1,0.4142312579415502,15,""
"lucide","line-art","carrot",78,3,"default",766,3,1049,1,1488,102,1,0.42193808882907136,14,""
"lucide","line-art","carrot",78,3,"authored",766,3,1049,3,1452,98,1,0.4094052558782849,11,""
"lucide","line-art","carrot",78,4,"default",1032,3,931,3,1304,94,1,0.41987673343605547,11,""
"lucide","line-art","carrot",78,4,"authored",1032,3,931,3,1304,94,1,0.41987673343605547,11,""
"lucide","line-art","carrot",78,6,"default",1457,3,782,3,1020,71,1,0.4329388560157791,14,""
"lucide","line-art","carrot",78,6,"authored",1457,3,782,3,1020,71,1,0.4329388560157791,14,""
"lucide","line-art","carrot",100,2,"default",676,4,1913,1,2692,208,1,0.4211895910780669,16,""
"lucide","line-art","carrot",100,2,"authored",676,4,1913,2,2656,170,1,0.4057315233785822,16,""
"lucide","line-art","carrot",100,3,"default",1017,3,1795,2,2524,201,1,0.3968253968253968,17,""
"lucide","line-art","carrot",100,3,"authored",1017,3,1795,3,2480,146,1,0.4147130153597413,12,""
"lucide","line-art","carrot",100,4,"default",1320,3,1683,3,2316,148,1,0.4134199134199134,15,""
"lucide","line-art","carrot",100,4,"authored",1320,3,1683,3,2296,146,1,0.41441048034934497,19,""
"lucide","line-art","carrot",100,6,"default",1925,3,1452,3,1956,114,1,0.4235897435897436,13,""
"lucide","line-art","carrot",100,6,"authored",1925,3,1452,3,1956,114,1,0.4235897435897436,13,""
"lucide","line-art","cat",40,2,"default",241,1,636,1,696,51,1,0.4164265129682997,7,""
"lucide","line-art","cat",40,2,"authored",241,1,636,1,688,48,1,0.42128279883381925,9,""
"lucide","line-art","cat",40,3,"default",364,1,559,1,656,40,1,0.3929663608562691,6,""
"lucide","line-art","cat",40,3,"authored",364,1,559,1,632,47,1,0.3952380952380952,8,""
"lucide","line-art","cat",40,4,"default",492,1,499,1,612,42,1,0.3983606557377049,11,""
"lucide","line-art","cat",40,4,"authored",492,1,499,1,580,38,1,0.4031141868512111,9,""
"lucide","line-art","cat",40,6,"default",789,1,336,3,368,23,1,0.4613259668508287,5,""
"lucide","line-art","cat",40,6,"authored",789,1,336,3,368,23,1,0.4613259668508287,5,""
"lucide","line-art","cat",60,2,"default",345,1,1513,1,1640,136,1,0.3962148962148962,23,""
"lucide","line-art","cat",60,2,"authored",345,1,1513,1,1632,112,1,0.405521472392638,13,""
"lucide","line-art","cat",60,3,"default",537,1,1431,1,1584,125,1,0.4026548672566372,15,""
"lucide","line-art","cat",60,3,"authored",537,1,1431,1,1576,111,1,0.3970775095298602,12,""
"lucide","line-art","cat",60,4,"default",717,1,1318,1,1444,89,1,0.41123439667128986,12,""
"lucide","line-art","cat",60,4,"authored",717,1,1318,1,1412,103,1,0.4078014184397163,19,""
"lucide","line-art","cat",60,6,"default",1118,1,1099,1,1236,97,1,0.40437601296596437,14,""
"lucide","line-art","cat",60,6,"authored",1118,1,1099,1,1236,97,1,0.40437601296596437,14,""
"lucide","line-art","cat",78,2,"default",462,1,2647,1,2816,188,1,0.40405117270788915,18,""
"lucide","line-art","cat",78,2,"authored",462,1,2647,1,2800,201,1,0.4035025017869907,21,""
"lucide","line-art","cat",78,3,"default",704,1,2524,1,2696,191,1,0.39606533036377134,22,""
"lucide","line-art","cat",78,3,"authored",704,1,2524,1,2680,187,1,0.39469753547423453,21,""
"lucide","line-art","cat",78,4,"default",944,1,2394,1,2540,177,1,0.4022852639873917,19,""
"lucide","line-art","cat",78,4,"authored",944,1,2394,1,2508,172,1,0.40422984836392656,20,""
"lucide","line-art","cat",78,6,"default",1433,1,2131,1,2296,157,1,0.4067131647776809,21,""
"lucide","line-art","cat",78,6,"authored",1433,1,2131,1,2296,157,1,0.4067131647776809,21,""
"lucide","line-art","cat",100,2,"default",595,1,4423,1,4616,340,1,0.39986996098829647,32,""
"lucide","line-art","cat",100,2,"authored",595,1,4423,1,4600,314,1,0.4030013049151805,30,""
"lucide","line-art","cat",100,3,"default",876,1,4299,1,4496,292,1,0.40654205607476634,28,""
"lucide","line-art","cat",100,3,"authored",876,1,4299,1,4480,327,1,0.4030817329164806,26,""
"lucide","line-art","cat",100,4,"default",1184,1,4120,1,4340,294,1,0.40318118948824344,26,""
"lucide","line-art","cat",100,4,"authored",1184,1,4120,1,4324,293,1,0.4018972697825081,36,""
"lucide","line-art","cat",100,6,"default",1813,1,3783,1,3972,240,1,0.3952141057934509,21,""
"lucide","line-art","cat",100,6,"authored",1813,1,3783,1,3972,240,1,0.3952141057934509,21,""
"lucide","line-art","cherry",40,2,"default",351,4,145,2,540,35,1,0.41044776119402987,6,""
"lucide","line-art","cherry",40,2,"authored",351,4,145,2,524,31,1,0.4307692307692308,10,""
"lucide","line-art","cherry",40,3,"default",487,4,124,4,416,39,1,0.4166666666666667,6,""
"lucide","line-art","cherry",40,3,"authored",487,4,124,4,416,39,1,0.4166666666666667,6,""
"lucide","line-art","cherry",40,4,"default",641,5,107,3,324,26,1,0.42452830188679247,5,""
"lucide","line-art","cherry",40,4,"authored",641,5,107,3,324,26,1,0.42452830188679247,5,""
"lucide","line-art","cherry",40,6,"default",905,3,70,3,208,17,1,0.4801980198019802,5,""
"lucide","line-art","cherry",40,6,"authored",905,3,70,3,208,17,1,0.4801980198019802,5,""
"lucide","line-art","cherry",60,2,"default",518,4,374,1,1288,92,1,0.42068429237947125,14,""
"lucide","line-art","cherry",60,2,"authored",518,4,374,2,1276,72,1,0.42138364779874216,14,""
"lucide","line-art","cherry",60,3,"default",769,4,326,2,1140,77,1,0.4242957746478873,11,""
"lucide","line-art","cherry",60,3,"authored",769,4,326,4,1132,67,1,0.42437722419928825,7,""
"lucide","line-art","cherry",60,4,"default",1017,5,296,4,1000,68,1,0.4223790322580645,9,""
"lucide","line-art","cherry",60,4,"authored",1017,5,296,4,1000,68,1,0.4223790322580645,9,""
"lucide","line-art","cherry",60,6,"default",1451,4,238,4,724,59,1,0.39664804469273746,13,""
"lucide","line-art","cherry",60,6,"authored",1451,4,238,4,724,59,1,0.39664804469273746,13,""
"lucide","line-art","cherry",78,2,"default",683,4,649,1,2216,146,1,0.4069557362240289,12,""
"lucide","line-art","cherry",78,2,"authored",683,4,649,2,2196,159,1,0.4215328467153285,17,""
"lucide","line-art","cherry",78,3,"default",1004,4,604,2,2060,150,1,0.4056420233463035,13,""
"lucide","line-art","cherry",78,3,"authored",1004,4,604,2,2052,151,1,0.427734375,16,""
"lucide","line-art","cherry",78,4,"default",1321,4,558,4,1884,134,1,0.4275053304904051,20,""
"lucide","line-art","cherry",78,4,"authored",1321,4,558,4,1884,134,1,0.4275053304904051,20,""
"lucide","line-art","cherry",78,6,"default",1920,5,473,4,1468,90,1,0.4178082191780822,9,""
"lucide","line-art","cherry",78,6,"authored",1920,5,473,4,1468,90,1,0.4178082191780822,9,""
"lucide","line-art","cherry",100,2,"default",891,6,1103,1,3784,263,1,0.41168693812797463,21,""
"lucide","line-art","cherry",100,2,"authored",891,6,1103,1,3736,252,1,0.41108730583824316,25,""
"lucide","line-art","cherry",100,3,"default",1343,5,1040,2,3496,233,1,0.4066437571592211,22,""
"lucide","line-art","cherry",100,3,"authored",1343,5,1040,3,3456,247,1,0.4,26,""
"lucide","line-art","cherry",100,4,"default",1715,4,992,4,3260,240,1,0.4040590405904059,18,""
"lucide","line-art","cherry",100,4,"authored",1715,4,992,4,3260,240,1,0.4040590405904059,18,""
"lucide","line-art","cherry",100,6,"default",2507,4,881,4,2812,204,1,0.4122681883024251,22,""
"lucide","line-art","cherry",100,6,"authored",2507,4,881,4,2812,204,1,0.4122681883024251,22,""
"lucide","line-art","croissant",40,2,"default",300,5,215,1,508,25,1,0.4090909090909091,6,""
"lucide","line-art","croissant",40,2,"authored",300,5,215,1,508,25,1,0.4090909090909091,6,""
