name,frame,angle,dilation,regions,pathCells,fill,segments,failure
banana,portrait-72x120,165,1,2,788,0.0912,64,""
banana,portrait-72x120,165,2,2,572,0.0662,29,""
banana,portrait-60x100,0,1,2,856,0.1427,57,""
banana,portrait-60x100,0,2,2,576,0.0960,36,""
banana,portrait-60x100,15,1,2,512,0.0853,39,""
banana,portrait-60x100,15,2,2,312,0.0520,29,""
banana,portrait-60x100,30,1,2,400,0.0667,32,""
banana,portrait-60x100,30,2,2,236,0.0393,22,""
banana,portrait-60x100,45,1,2,368,0.0613,28,""
banana,portrait-60x100,45,2,2,176,0.0293,19,""
banana,portrait-60x100,60,1,2,396,0.0660,21,""
banana,portrait-60x100,60,2,2,204,0.0340,13,""
banana,portrait-60x100,75,1,2,488,0.0813,44,""
banana,portrait-60x100,75,2,2,308,0.0513,26,""
banana,portrait-60x100,90,1,2,856,0.1427,53,""
banana,portrait-60x100,90,2,2,576,0.0960,41,""
banana,portrait-60x100,105,1,2,512,0.0853,31,""
banana,portrait-60x100,105,2,2,312,0.0520,9,""
banana,portrait-60x100,120,1,2,400,0.0667,24,""
banana,portrait-60x100,120,2,2,236,0.0393,14,""
banana,portrait-60x100,135,1,2,368,0.0613,27,""
banana,portrait-60x100,135,2,2,176,0.0293,12,""
banana,portrait-60x100,150,1,2,396,0.0660,25,""
banana,portrait-60x100,150,2,2,204,0.0340,12,""
banana,portrait-60x100,165,1,2,488,0.0813,45,""
banana,portrait-60x100,165,2,2,308,0.0513,16,""
banana,portrait-52x92,0,1,2,600,0.1254,48,""
banana,portrait-52x92,0,2,2,356,0.0744,28,""
banana,portrait-52x92,15,1,2,368,0.0769,17,""
banana,portrait-52x92,15,2,2,168,0.0351,11,""
banana,portrait-52x92,30,1,2,256,0.0535,16,""
banana,portrait-52x92,30,2,2,116,0.0242,10,""
banana,portrait-52x92,45,1,2,252,0.0527,12,""
banana,portrait-52x92,45,2,2,84,0.0176,6,""
banana,portrait-52x92,60,1,2,268,0.0560,12,""
banana,portrait-52x92,60,2,2,120,0.0251,8,""
banana,portrait-52x92,75,1,2,348,0.0727,18,""
banana,portrait-52x92,75,2,2,172,0.0360,10,""
banana,portrait-52x92,90,1,2,600,0.1254,35,""
banana,portrait-52x92,90,2,2,356,0.0744,23,""
banana,portrait-52x92,105,1,2,368,0.0769,35,""
banana,portrait-52x92,105,2,2,168,0.0351,13,""
banana,portrait-52x92,120,1,2,256,0.0535,18,""
banana,portrait-52x92,120,2,2,116,0.0242,11,""
banana,portrait-52x92,135,1,2,252,0.0527,12,""
banana,portrait-52x92,135,2,2,84,0.0176,7,""
banana,portrait-52x92,150,1,2,268,0.0560,17,""
banana,portrait-52x92,150,2,2,120,0.0251,9,""
banana,portrait-52x92,165,1,2,348,0.0727,18,""
banana,portrait-52x92,165,2,2,172,0.0360,12,""
bike,square-78,0,1,2,876,0.1440,51,""
bike,square-78,0,2,2,672,0.1105,56,""
bike,square-78,15,1,2,568,0.0934,34,""
bike,square-78,15,2,2,448,0.0736,25,""
bike,square-78,30,1,2,480,0.0789,32,""
bike,square-78,30,2,2,348,0.0572,22,""
bike,square-78,45,1,2,464,0.0763,31,""
bike,square-78,45,2,2,336,0.0552,24,""
bike,square-78,60,1,2,480,0.0789,33,""
bike,square-78,60,2,2,348,0.0572,26,""
bike,square-78,75,1,2,568,0.0934,34,""
bike,square-78,75,2,2,448,0.0736,26,""
bike,square-78,90,1,2,876,0.1440,58,""
bike,square-78,90,2,2,672,0.1105,37,""
bike,square-78,105,1,2,568,0.0934,37,""
bike,square-78,105,2,2,448,0.0736,26,""
bike,square-78,120,1,2,480,0.0789,27,""
bike,square-78,120,2,2,348,0.0572,21,""
bike,square-78,135,1,2,464,0.0763,28,""
bike,square-78,135,2,2,336,0.0552,21,""
bike,square-78,150,1,2,480,0.0789,36,""
bike,square-78,150,2,2,348,0.0572,21,""
bike,square-78,165,1,2,568,0.0934,43,""
bike,square-78,165,2,2,448,0.0736,34,""
bike,square-60,0,1,2,480,0.1333,33,""
bike,square-60,0,2,2,344,0.0956,17,""
bike,square-60,15,1,2,312,0.0867,20,""
bike,square-60,15,2,2,216,0.0600,13,""
bike,square-60,30,1,2,284,0.0789,26,""
bike,square-60,30,2,2,164,0.0456,9,""
bike,square-60,45,1,2,256,0.0711,18,""
bike,square-60,45,2,3,212,0.0589,13,""
bike,square-60,60,1,2,284,0.0789,23,""
bike,square-60,60,2,4,204,0.0567,20,""
bike,square-60,75,1,2,312,0.0867,18,""
bike,square-60,75,2,2,216,0.0600,15,""
bike,square-60,90,1,2,480,0.1333,36,""
bike,square-60,90,2,2,344,0.0956,22,""
bike,square-60,105,1,2,312,0.0867,14,""
bike,square-60,105,2,2,216,0.0600,9,""
bike,square-60,120,1,2,284,0.0789,20,""
bike,square-60,120,2,2,164,0.0456,10,""
bike,square-60,135,1,2,256,0.0711,17,""
bike,square-60,135,2,3,212,0.0589,14,""
bike,square-60,150,1,2,284,0.0789,13,""
bike,square-60,150,2,4,204,0.0567,17,""
bike,square-60,165,1,2,312,0.0867,23,""
bike,square-60,165,2,2,216,0.0600,14,""
bike,portrait-72x120,0,1,2,744,0.0861,50,""
bike,portrait-72x120,0,2,2,544,0.0630,35,""
bike,portrait-72x120,15,1,2,496,0.0574,29,""
bike,portrait-72x120,15,2,2,344,0.0398,21,""
bike,portrait-72x120,30,1,2,404,0.0468,27,""
bike,portrait-72x120,30,2,2,268,0.0310,18,""
bike,portrait-72x120,45,1,2,400,0.0463,26,""
bike,portrait-72x120,45,2,2,264,0.0306,18,""
bike,portrait-72x120,60,1,2,452,0.0523,29,""
bike,portrait-72x120,60,2,2,304,0.0352,29,""
bike,portrait-72x120,75,1,2,604,0.0699,50,""
bike,portrait-72x120,75,2,2,452,0.0523,26,""
bike,portrait-72x120,90,1,2,1028,0.1190,81,""
bike,portrait-72x120,90,2,2,824,0.0954,65,""
bike,portrait-72x120,105,1,2,600,0.0694,40,""
bike,portrait-72x120,105,2,2,452,0.0523,31,""
bike,portrait-72x120,120,1,2,452,0.0523,27,""
bike,portrait-72x120,120,2,2,304,0.0352,17,""
bike,portrait-72x120,135,1,2,400,0.0463,27,""
bike,portrait-72x120,135,2,2,264,0.0306,15,""
bike,portrait-72x120,150,1,2,404,0.0468,26,""
bike,portrait-72x120,150,2,2,268,0.0310,13,""
bike,portrait-72x120,165,1,2,496,0.0574,30,""
bike,portrait-72x120,165,2,2,344,0.0398,29,""
bike,portrait-60x100,0,1,2,480,0.0800,33,""
bike,portrait-60x100,0,2,2,344,0.0573,17,""
bike,portrait-60x100,15,1,2,312,0.0520,20,""
bike,portrait-60x100,15,2,2,216,0.0360,13,""
bike,portrait-60x100,30,1,2,284,0.0473,26,""
bike,portrait-60x100,30,2,2,164,0.0273,9,""
bike,portrait-60x100,45,1,2,256,0.0427,18,""
bike,portrait-60x100,45,2,3,212,0.0353,13,""
bike,portrait-60x100,60,1,2,288,0.0480,21,""
bike,portrait-60x100,60,2,3,248,0.0413,17,""
bike,portrait-60x100,75,1,2,400,0.0667,27,""
bike,portrait-60x100,75,2,2,284,0.0473,19,""
bike,portrait-60x100,90,1,2,664,0.1107,44,""
bike,portrait-60x100,90,2,2,512,0.0853,40,""
bike,portrait-60x100,105,1,2,400,0.0667,21,""
bike,portrait-60x100,105,2,2,284,0.0473,26,""
bike,portrait-60x100,120,1,2,288,0.0480,21,""
bike,portrait-60x100,120,2,2,176,0.0293,10,""
